"","YEAR","VOL_DUFF_ACRE","VOL_LITTER_ACRE","VOL_1HR_ACRE","VOL_10HR_ACRE","VOL_100HR_ACRE","VOL_1000HR_ACRE","VOL_PILE_ACRE","VOL_ACRE","BIO_DUFF_ACRE","BIO_LITTER_ACRE","BIO_1HR_ACRE","BIO_10HR_ACRE","BIO_100HR_ACRE","BIO_1000HR_ACRE","BIO_PILE_ACRE","BIO_ACRE","CARB_DUFF_ACRE","CARB_LITTER_ACRE","CARB_1HR_ACRE","CARB_10HR_ACRE","CARB_100HR_ACRE","CARB_1000HR_ACRE","CARB_PILE_ACRE","CARB_ACRE","VOL_DUFF_ACRE_SE","VOL_LITTER_ACRE_SE","VOL_1HR_ACRE_SE","VOL_10HR_ACRE_SE","VOL_100HR_ACRE_SE","VOL_1000HR_ACRE_SE","VOL_PILE_ACRE_SE","VOL_ACRE_SE","BIO_DUFF_ACRE_SE","BIO_LITTER_ACRE_SE","BIO_1HR_ACRE_SE","BIO_10HR_ACRE_SE","BIO_100HR_ACRE_SE","BIO_1000HR_ACRE_SE","BIO_PILE_ACRE_SE","BIO_ACRE_SE","CARB_DUFF_ACRE_SE","CARB_LITTER_ACRE_SE","CARB_1HR_ACRE_SE","CARB_10HR_ACRE_SE","CARB_100HR_ACRE_SE","CARB_1000HR_ACRE_SE","CARB_PILE_ACRE_SE","CARB_ACRE_SE","nPlots_DWM","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","id","evalGrp","polyID"
"1",2010,NA,NA,4.97359663861454,43.9799503303054,261.798381847613,502.130252421874,0,812.882181238407,15.7907098265896,14.9630488439306,0.0595631762483392,0.532795402563056,3.04961272661763,4.42943876302654,0,38.8251687389757,7.89535491329478,7.4815244219653,0.0297815881241697,0.266397701281529,1.52480636330882,2.24045735997946,0,19.4383223479541,NA,NA,1.19307233408173e-06,NA,0,1.06958651811472e-06,NA,1.86874351039586e-06,NA,1.586270448571e-06,0,0,0,NA,NA,1.22268327338004e-06,NA,1.586270448571e-06,1.90644878430491e-06,1.39215271984977e-06,0,1.32425206040683e-06,NA,1.7268457467489e-06,1,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2,1,2
"2",2010,NA,NA,11.0385122488953,73.2685702121213,205.798743217979,569.875316969545,0,859.981142648541,17.0298951284647,6.00326436675811,0.118404938883515,0.794957682107574,2.28671297837666,4.8522807759924,0,31.085515870583,8.51494756423235,3.00163218337906,0.0592024694417573,0.397478841053787,1.14335648918833,2.45709932884366,0,15.5737168761389,NA,NA,17.7715552662248,14.7397908080798,12.3426879824016,16.7563038311137,NA,11.7849643789537,23.2002383089836,22.9535903552747,15.7322084168455,13.2125213928912,11.9693464280143,17.3214916792583,NA,15.3761342995473,23.2002383089836,22.9535903552747,15.7322084168455,13.2125213928912,11.9693464280143,17.2922575307424,NA,15.320573391338,18,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3,1,3
"3",2010,NA,NA,10.1390858322467,50.3665124858015,137.160799571952,396.520921912499,0,594.187319802499,8.71355238890894,3.05128351246387,0.117692296252864,0.568376807484581,1.60436889538131,3.47989327571513,0,17.5351671762067,4.35677619445447,1.52564175623193,0.058846148126432,0.28418840374229,0.802184447690658,1.77348456501065,0,8.80112151525643,NA,NA,14.9847342496778,36.0361925552004,12.2056604852638,30.7918481841411,NA,24.5619178422428,20.3161278641314,17.1288919243817,12.1883259410709,31.5493078158048,11.7962945709587,28.8593618261411,NA,8.74892556109266,20.3161278641314,17.1288919243817,12.1883259410709,31.5493078158048,11.7962945709587,29.8033969297042,NA,8.8197858812527,4,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5,1,5
"4",2010,NA,NA,11.6303762310601,107.820186024527,443.980068834993,349.223491684374,0,912.654122774955,5.59937991329478,1.00441365606936,0.115592756475977,1.07081454083897,4.4025211163359,2.53614822084819,0,14.7288702038632,2.79968995664739,0.502206828034681,0.0577963782379887,0.535407270419485,2.20126055816796,1.28170944899541,0,7.37807044050291,NA,NA,8.23065817361269,20.2153724108526,45.3022622492846,45.5550674234602,NA,41.9628325021891,24.2151689755868,23.3183108653798,7.93158861838245,19.9372233217849,45.1257721343357,45.3904844083343,NA,12.0198562915932,24.2151689755868,23.3183108653798,7.93158861838245,19.9372233217849,45.1257721343358,44.9943674627279,NA,12.0127152619966,2,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6,1,6
"5",2010,NA,NA,6.91967016954735,57.6775818500556,179.126590829268,683.466441254649,0,927.19028410352,13.8353655376437,5.21234163944864,0.0835264603772939,0.6953623215746,2.20291658777605,6.16294339710178,0,28.1924559439221,6.91768276882184,2.60617081972432,0.041763230188647,0.3476811607873,1.10145829388803,3.12060782842176,0,14.1353641018319,NA,NA,18.0799643714569,20.6494051385942,21.5000364578352,23.6883572009491,NA,19.7690334136028,17.5755404020028,22.6305815379697,14.5594003182624,17.4898014523901,20.0150801227726,21.4100316332337,NA,12.3633204038696,17.5755404020028,22.6305815379697,14.5594003182624,17.4898014523901,20.0150801227726,21.962644620247,NA,12.4839701119115,12,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8,1,8
"6",2010,NA,NA,5.65122546193553,47.3693000328786,78.0851302556084,193.725090934374,0,324.830746684797,11.8659559248555,9.88578305635836,0.0704862226780474,0.590824601267486,0.973934930770942,1.29793984856478,0,24.6849245844951,5.93297796242773,4.94289152817918,0.0352431113390238,0.295412300633744,0.486967465385471,0.662526811469207,0,12.3560191794344,NA,NA,2.57199622475582e-06,NA,1.21587514160274e-06,0,NA,0,1.41442394034964e-06,NA,1.86023633165225e-06,NA,2.15408283512892e-06,1.14293827964647e-06,NA,1.35981716920384e-06,1.41442394034964e-06,NA,0,NA,2.15408283512892e-06,2.50339218919751e-06,NA,1.92096190989712e-06,1,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9,1,9
"7",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,864898410.969,533518.615687,227,423,"M211","M211B","M211Ba","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","New England Piedmont","Northern Piedmont",0,213720.99805,86489.8193562,10,2,10
"8",2010,NA,NA,2.95744536492802,15.2551927028356,54.4855289882927,854.593294121875,0,927.291461177931,7.82023,4.16406375,0.0438904353326936,0.226397098236127,0.80860110384033,10.1065227697314,0,23.1697051571406,3.910115,2.082031875,0.0219452176663468,0.113198549118063,0.404300551920166,4.96230267993811,0,11.4938938736427,NA,NA,NA,NA,NA,NA,NA,1.99565684608682e-06,NA,1.73598029765844e-06,0,1.99559001763748e-06,2.23495014842978e-06,0,NA,1.24796281681917e-06,NA,1.73598029765844e-06,NA,0,NA,0,NA,NA,1,517488463.567,400094.240746,252,434,"M211","M211C","M211Ca","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","Green-Taconic-Berkshire Mountains","Northern Green Mountain",0,127874.18151,51748.8452702,11,2,11
"9",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17916319.7071,467338.758145,268,463,"211","211E","211Ec","Humid Temperate","Warm Continental","Northeastern Mixed Forest","St. Lawrence and Champlain Valley","Champlain Glacial Lake and Marine Plains",0,4427.21375746,1791.62984277,12,2,12
"10",2010,NA,NA,9.51481936151411,53.3646832915372,111.435853922306,430.47140607625,0,604.786762651608,22.859925,12.286582,0.117995507219748,0.689196604066437,1.41492904130883,4.18635855640667,0,41.5549867090017,11.4299625,6.143291,0.058997753609874,0.344598302033219,0.707464520654414,2.11136106465706,0,20.7956751409546,NA,NA,32.3170465679109,20.2111390754546,27.1312630592203,34.817394473059,NA,24.9441964084077,29.9284399175958,44.88417127381,29.4390283386528,21.5575444613356,27.1044430041369,35.2770321777348,NA,24.3710918692697,29.9284399175958,44.88417127381,29.4390283386528,21.5575444613356,27.104443004137,35.8344446525482,NA,24.3444208701973,5,29490466371.9,973599.239888,310,523,"M211","M211A","M211Ad","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","White Mountains",1,677007.951605,273975.397697,13,1,13
